[ moleculetype ]
; Name            nrexcl
DOPC               3

[ atoms ]
;   nr       type  resnr residue  atom   cgnr       charge     mass
     1        NTL      1   DOPC      N      1       0.20   14.007   
     2       CTL2      1   DOPC    C12     14      -0.20   12.011   
     3       CTL5      1   DOPC    C13      2      -0.38   12.011   
     4       CTL5      1   DOPC    C14      6      -0.38   12.011   
     5       CTL5      1   DOPC    C15     10      -0.38   12.011   
     6         HL      1   DOPC   H12A     15       0.09    1.008   
     7         HL      1   DOPC   H12B     16       0.09    1.008   
     8         HL      1   DOPC   H13A      3       0.19    1.008   
     9         HL      1   DOPC   H13B      4       0.19    1.008   
    10         HL      1   DOPC   H13C      5       0.19    1.008   
    11         HL      1   DOPC   H14A      7       0.19    1.008   
    12         HL      1   DOPC   H14B      8       0.19    1.008   
    13         HL      1   DOPC   H14C      9       0.19    1.008   
    14         HL      1   DOPC   H15A     11       0.19    1.008   
    15         HL      1   DOPC   H15B     12       0.19    1.008   
    16         HL      1   DOPC   H15C     13       0.19    1.008   
    17       CTL2      1   DOPC    C11     17       0.17   12.011   
    18       HAL2      1   DOPC   H11A     18       0.03    1.008   
    19       HAL2      1   DOPC   H11B     19       0.03    1.008   
    20         PL      1   DOPC      P     20       1.58   30.974   
    21        O2L      1   DOPC    O13     21      -0.86  15.9994   
    22        O2L      1   DOPC    O14     22      -0.86  15.9994   
    23       OSLP      1   DOPC    O12     23      -0.49  15.9994   
    24       OSLP      1   DOPC    O11     24      -0.49  15.9994   
    25       CTL2      1   DOPC     C1     25      -0.11   12.011   
    26       HAL2      1   DOPC     HA     26       0.07    1.008   
    27       HAL2      1   DOPC     HB     27       0.07    1.008   
    28       CTL1      1   DOPC     C2     28       0.48   12.011   
    29       HAL1      1   DOPC     HS     29       0.04    1.008   
    30        OSL      1   DOPC    O21     30      -0.47    15.9994 
    31         CL      1   DOPC    C21     31       0.79    12.011  
    32        OBL      1   DOPC    O22     32      -0.65    15.9994 
    33       CTL2      1   DOPC    C22     33      -0.06   12.011   
    34       HAL2      1   DOPC    H2R     34       0.03    1.008   
    35       HAL2      1   DOPC    H2S     35       0.03    1.008   
    36       CTL2      1   DOPC     C3     36       0.13   12.011   
    37       HAL2      1   DOPC     HX     37       0.06      1.008 
    38       HAL2      1   DOPC     HY     38       0.06      1.008 
    39        OSL      1   DOPC    O31     39      -0.47     15.9994
    40         CL      1   DOPC    C31     40       0.79     12.011 
    41        OBL      1   DOPC    O32     41      -0.65     15.9994
    42       CTL2      1   DOPC    C32     42      -0.06     12.011 
    43       HAL2      1   DOPC    H2X     43       0.03      1.008 
    44       HAL2      1   DOPC    H2Y     44       0.03      1.008 
    45       CTL2      1   DOPC    C23     45       0.00     12.011 
    46       HAL2      1   DOPC    H3R     46       0.00      1.008 
    47       HAL2      1   DOPC    H3S     47       0.00      1.008 
    48       CTL2      1   DOPC    C24     48       0.00     12.011 
    49       HAL2      1   DOPC    H4R     49       0.00      1.008 
    50       HAL2      1   DOPC    H4S     50       0.00      1.008 
    51       CTL2      1   DOPC    C25     51       0.00     12.011 
    52       HAL2      1   DOPC    H5R     52       0.00      1.008 
    53       HAL2      1   DOPC    H5S     53       0.00      1.008 
    54       CTL2      1   DOPC    C26     54       0.00     12.011 
    55       HAL2      1   DOPC    H6R     55       0.00      1.008 
    56       HAL2      1   DOPC    H6S     56       0.00      1.008 
